Code,Name,Station name Chinese,Station name Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Interchange; Adjacent transportation
Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL)
CC1  NS24  NE6,Dhoby Ghaut,多美歌,டோபி காட்,17-Apr-10,Dhoby Ghaut,DBG,Museum Planning Area,"North South Line
 North East Line"
CC2,Bras Basah,百胜,பிராஸ் பாசா,17-Apr-10,Museum / Bras Basah,BBS,Museum Planning Area,—
CC3,Esplanade,滨海中心,எஸ்பிளனேட்,17-Apr-10,"Convention Centre, Esplanade / Suntec",EPN,Downtown Core,—
CC4  DT15,Promenade,宝门廊,புரொமனாட்,17-Apr-10,"Millenia, Promenade / Marina Centre / Sheares",PMN,Downtown Core,"Downtown Line
― 
 Marina Centre"
CC5,Nicoll Highway,尼诰大道,நிக்கல் நெடுஞ்சாலை,17-Apr-10,Nicoll Highway / Kampong Glam,NCH,Downtown Core,—
CC6,Stadium,体育场,ஸ்டேடியம்,17-Apr-10,"Boulevard, Stadium / Tanjong Rhu",SDM,Kallang,—
CC7,Mountbatten,蒙巴登,மவுண்ட்பேட்டன்,17-Apr-10,Old Airport Road / Mountbatten,MBT,"Geylang, Kallang",—
CC8,Dakota,达科达,டகோட்டா,17-Apr-10,"Tanjong Katong, Dakota / Dunman",DKT,Geylang,—
CC9  EW8,Paya Lebar,巴耶利峇,பாய லேபார்,17-Apr-10,Paya Lebar,PYL,Geylang,East West Line
CC10  DT26,MacPherson,麦波申,மெக்பர்சன்,17-Apr-10,MacPherson / Ubi,MPS,Geylang,Downtown Line
CC11,Tai Seng,大成,தை செங்,17-Apr-10,Upper Paya Lebar / Tai Seng / Kim Chuan,TSG,"Hougang, Toa Payoh",—
CC12,Bartley,巴特礼,பார்ட்லி,28-May-09,Bartley / How Sun,BLY,"Serangoon, Toa Payoh",—
CC13  NE12,Serangoon,实龙岗,சிராங்கூன்,28-May-09,Serangoon,SER,Serangoon,"North East Line
―
 Serangoon"
CC14,Lorong Chuan,罗弄泉,லோரோங் சுவான்,28-May-09,Lorong Chuan / Mei Hwan,LRC,Serangoon,—
CC15  NS17,Bishan,碧山,பீஷான்,28-May-09,Bishan,BSH,Bishan,"North South Line
―
 Bishan"
CC16,Marymount,玛丽蒙,மேரிமவுண்ட்,28-May-09,Marymount / Shunfu,MRM,Bishan,—
CC17  TE9,Caldecott,加利谷,கால்டிகாட்,8-Oct-11,Thomson / Caldecott,CDT,Toa Payoh,Thomson–East Coast Line
—,Bukit Brown,武吉布朗,புக்கிட் பிரவுன்,TBA,Bukit Brown,TBA,Novena,—
CC19  DT9,Botanic Gardens • Kebun Bunga,植物园,பூ மலை,8-Oct-11,"Adam, Botanic Gardens / Cluny Road",BTN,Tanglin,Downtown Line
